employee_id,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months
100111,Rendra Herlambang,510681,20,20,30,60,40,10,30,30,50,44
100112,Adit Mahardika Pratama,874330,40,40,30,10,40,30,10,10,30,36
100113,Iman Rachman Rahmawati,313238,10,40,10,60,30,10,20,10,50,55
100114,Vania Fadillah Fauziah,475116,20,20,40,40,50,20,20,40,20,15
100115,Satya Yudhistira Lukman,804211,20,10,10,20,40,20,10,30,40,41
100116,Bayu Ridwan,747077,20,20,60,40,30,20,30,20,50,50
100117,Prasetyo Gunawan,362939,40,40,40,60,20,20,20,20,60,39
100118,Julia Pramudita Hartanto,244488,40,40,40,20,50,30,30,20,40,53
100119,Iman Ginting,562438,20,20,60,10,30,10,20,20,30,1
100120,Iman Maulida,949849,40,20,20,10,20,10,20,10,30,52
100121,Bayu Hidayat,174665,10,30,40,30,20,30,10,20,40,56
100122,Rizki Simanjuntak,580039,20,30,60,40,10,30,30,20,20,10
100123,Kurnia Jatmiko Permadi,557929,20,10,50,20,10,10,20,40,20,54
100124,Maya Nabila Salsabila,614276,20,40,20,40,50,20,10,10,20,52
100125,Nabila Lestari Santoso,500320,20,40,50,10,30,20,30,10,10,45
100126,Vania Siregar,549217,30,40,50,50,10,30,30,30,30,67
100127,Lestari Gunawan,809952,10,30,60,40,10,10,30,30,60,26
100128,Ahmad Siregar,282135,10,10,40,60,40,20,20,20,30,58
100129,Dian Utama Kusuma,445242,40,40,20,10,10,10,20,30,20,17
100130,Citra Rahmawati,328046,20,30,10,10,20,30,10,40,30,68
100131,Ayunda Adi Hartanto,190746,10,10,40,50,40,10,30,30,30,58
100132,Maya Ramadhan,378744,10,20,20,50,40,20,30,20,60,46
100133,Rendra Handayani,851667,20,20,40,20,10,30,10,30,10,30
100134,Rifqi Wijaya,526403,40,20,50,30,50,20,10,10,50,61
100135,Indra Wijaya Ridwan,738691,10,30,40,10,50,30,10,10,60,14
100136,Maya Pradana,517117,30,20,20,20,20,10,10,10,60,76
100137,Rizky Jatmiko Hasibuan,553122,10,20,10,50,40,20,10,10,10,124
100138,Rani Zulfikar,432483,20,10,30,40,10,20,30,40,50,42
100139,Nadia Herlambang,982093,10,20,40,40,20,30,30,20,30,78
100140,Yuni Siregar,998756,40,20,60,30,20,10,10,40,60,54
100141,Fitri Utami,861763,40,30,60,20,10,30,30,30,10,67
100142,Indra Putra,749034,10,30,40,40,10,30,10,10,50,64
100143,Nadia Pramudita Wibowo,895607,10,30,20,50,30,30,20,20,30,22
100144,Bella Nabila Purnama,423266,20,20,40,20,10,30,20,20,60,20
100145,Novi Purnama,148545,30,10,50,10,40,10,10,40,50,41
100146,Maya Wijaya,249743,20,40,50,50,10,20,10,10,50,35
100147,Hana Ridwan,335078,40,30,60,20,50,10,20,20,60,7
100148,Galih Zulfikar Hasibuan,703594,20,10,10,50,40,10,10,40,20,100
100149,Teguh Saputra Hasibuan,512914,40,20,40,50,20,30,10,40,30,60
100150,Hadi Hasibuan,207057,30,30,10,50,10,10,30,30,60,69
100151,Wahyu Permadi,332971,40,10,30,60,50,30,10,40,10,42
100152,Satya Siregar,645559,30,40,20,20,50,30,30,20,50,59
100153,Arif Herlambang,692402,40,10,30,20,30,30,10,30,60,66
100154,Kurnia Maulida,876199,10,20,20,10,10,20,20,40,40,39
100155,Citra Jatmiko Siregar,846042,10,30,30,40,30,30,10,40,20,74
100156,Yoga Anugrah Lestari,302014,20,10,40,30,20,30,10,40,10,66
100157,Maya Zulfikar Purnama,229728,20,10,10,20,20,20,30,10,20,15
100158,Lestari Syahputra,659507,30,10,40,30,50,10,30,20,60,20
100159,Nabila Mahendra,773399,40,30,40,10,50,20,30,10,50,45
100160,Nugroho Rachman Salsabila,260531,40,10,10,60,10,20,20,40,40,83
100161,Wulan Saputra Pratama,937812,40,20,60,30,50,30,10,20,40,78
100162,Eko Adi Permadi,635327,30,20,50,50,30,10,20,40,50,38
100163,Oktavia Pramudita Sinaga,411227,20,40,20,60,20,30,10,30,20,74
100164,Wahyu Iqbal Pratomo,906701,40,40,20,30,50,20,10,20,50,81
100165,Kurnia Nugroho,272376,40,40,60,10,50,10,30,30,60,18
100166,Wahyu Yulianto,212302,20,30,40,40,30,30,10,30,30,34
100167,Eko Zulfikar,595197,30,20,40,20,50,30,10,30,20,84
100168,Wahyu Rachman Utami,459611,10,20,30,20,40,10,30,20,30,77
100169,Intan Permadi,292727,20,40,40,30,30,20,20,20,60,55
100170,Dinda Wijaya Zulfikar,889308,40,40,10,40,10,30,10,10,50,103
100171,Nadia Yulianto,164530,10,10,20,30,50,30,30,30,20,44
100172,Dinda Ridwan,746866,30,40,60,30,20,10,30,30,60,15
100173,Ahmad Wijaya,181237,40,30,60,60,50,20,30,30,10,81
100174,Ayunda Nabila Ramadhan,137718,30,40,50,40,30,20,20,30,50,74
100175,Budi Hasibuan,757262,10,20,20,50,40,10,10,40,60,28
100176,Fajar Firmansyah,952140,30,30,60,30,30,10,10,10,40,10
100177,Rama Mahardika Wijaya,228799,20,10,50,60,40,10,30,30,40,19
100178,Nurlita Siregar,371453,30,30,40,10,20,30,10,20,30,56
100179,Andi Santoso,255408,20,10,50,40,50,20,30,30,30,41
100180,Evi Kurniawan,281925,20,10,10,10,10,20,10,40,40,44
100181,Dewi Mahardika Salsabila,564954,10,20,40,40,50,10,10,40,30,63
100182,Joko Kusuma Maulana,980488,30,30,40,40,50,30,10,20,60,49
100183,Valdo Herlambang,212000,10,10,20,40,50,20,30,40,60,16
100184,Rizka Pamungkas,270387,40,30,30,10,50,20,30,30,20,62
100185,Yuni Anugrah Subekti,360441,30,10,60,20,40,20,20,30,10,59
100186,Rizki Halim,489939,30,40,30,50,30,30,20,20,60,59
100187,Ayu Tamba,561710,20,40,60,60,50,20,10,20,10,39
100188,Novi Pramudita Syahputra,711579,30,30,10,10,40,30,30,30,10,7
100189,Andi Ganesha Hartanto,355817,30,30,10,30,20,20,30,40,60,78
100190,Kartika Santoso,820251,20,10,50,60,30,30,10,30,60,45
100191,Cahyo Wijaya,731090,30,10,50,10,40,10,10,20,40,61
100192,Yoga Handayani,437723,30,10,50,20,50,30,20,30,60,86
100193,Kurnia Anugrah Kurniawan,263702,40,20,50,20,10,10,10,40,10,38
100194,Arif Hasibuan,345752,30,20,10,30,10,10,20,10,20,41
100195,Fitri Purnama,395742,30,30,30,60,10,10,20,40,30,29
100196,Kurnia Situmorang,229790,30,30,20,40,40,10,30,40,30,34
100197,Fitri Santoso,895048,10,40,40,50,40,10,30,10,30,15
100198,Citra Baskara Suharto,693575,20,40,10,20,10,30,20,10,40,66
100199,Valdo Zulfikar Halim,571816,10,30,10,50,20,30,20,30,40,70
100200,Lestari Pratomo,560557,40,10,50,20,20,20,20,20,30,46
100201,Gita Ganesha Santoso,960157,40,20,10,50,40,30,30,20,50,29
100202,Rizky Anugrah Suharto,899344,30,30,40,30,20,10,10,10,30,26
100203,Teguh Kusuma Siregar,261676,10,30,10,50,30,20,10,10,40,46
100204,Utami Candra Ginting,744103,10,40,40,40,50,20,10,20,30,75
100205,Vania Adi Nugroho,360370,40,30,30,20,40,10,30,20,50,12
100206,Sari Pratomo,360509,10,40,40,60,10,20,30,10,30,38
100207,Lestari Qolbi Setiawan,214779,10,20,10,10,40,30,20,10,30,54
100208,Hadi Tri Maulida,256506,30,30,10,60,20,30,20,10,20,79
100209,Nugroho Pamungkas,244390,20,20,60,60,10,20,10,40,50,45
100210,Zaki Jatmiko Sinaga,141771,10,40,40,40,10,30,20,40,30,56
100211,Dian Tri Pratomo,642425,30,10,10,30,40,30,10,40,50,38
100212,Galih Kurniawan,286882,30,10,50,50,50,30,30,30,40,14
100213,Rizky Permadi,636241,40,20,40,60,20,20,30,30,10,59
100214,Oktavia Subekti,709787,10,10,50,40,40,20,30,20,10,16
100215,Valdo Wijaya,822227,20,20,10,10,30,10,10,30,40,97
100216,Sari Ananda,408721,40,10,50,60,50,10,20,40,40,10
100217,Luthfi Purnama,738931,20,30,10,50,40,30,10,10,20,35
100218,Ayu Lukman,945788,40,40,20,60,10,20,20,30,10,35
100219,Julia Kusuma Santoso,398604,30,10,50,50,30,20,20,10,40,14
100220,Rizka Adi Setiawan,454642,20,20,60,60,30,30,10,40,50,63
100221,Dimas Qolbi Maulana,565432,40,40,20,30,30,30,10,10,10,3
100222,Luthfi Wijaya,476268,20,30,10,10,40,20,20,30,10,88
100223,Utami Mahardika Rohman,812910,40,30,20,30,40,30,30,40,30,2
100224,Rafa Maulida,414878,10,20,40,20,10,10,30,10,40,75
100225,Fajar Purnama,410679,30,10,60,30,10,10,30,30,20,48
100226,Nabila Simanjuntak,407321,20,10,40,30,10,10,10,20,40,11
100227,Wulan Suharto,836120,20,40,10,60,40,30,20,20,40,61
100228,Satya Candra Handayani,827729,40,20,20,20,40,10,20,20,40,53
100229,Rizki Putra,636376,20,20,60,50,50,30,30,30,50,22
100230,Eko Indrawan,222544,40,40,10,20,10,30,20,20,40,91
100231,Satya Halim Hidayat,732788,30,40,10,30,50,10,20,20,30,17
100232,Zaki Ridwan,501019,10,10,10,40,40,30,30,30,20,65
100233,Utami Iqbal Gunawan,240856,20,40,60,50,40,30,20,40,60,66
100234,Galih Jatmiko Maulana,213578,40,20,60,30,20,30,20,40,50,19
100235,Bayu Maulida,886319,40,30,60,60,20,10,20,30,20,36
100236,Teguh Santoso,274035,10,30,40,50,40,30,10,30,40,20
100237,Sari Halim Siregar,225799,40,30,20,50,50,30,30,30,10,36
100238,Dewi Siregar,729851,10,30,10,40,30,10,10,30,10,98
100239,Dimas Sinaga,307781,10,20,10,40,30,10,20,30,60,16
100240,Oktavia Hartanto,589164,10,30,10,20,50,30,10,30,10,19
100241,Sari Saputra Lukman,692319,40,20,60,40,20,10,20,10,60,81
100242,Rifqi Pamungkas,761064,40,10,20,50,20,20,20,20,30,52
100243,Sari Yudhistira Setiawan,828379,20,30,20,20,20,20,10,40,50,40
100244,Zaki Suharto,107836,10,20,30,30,40,10,20,30,40,85
100245,Budi Kurniawan,773435,20,10,30,40,10,20,20,20,40,79
100246,Rizky Subekti,415281,10,10,30,30,30,30,10,20,20,28
100247,Hadi Ganesha Wijaya,546699,10,10,10,30,10,30,30,10,50,59
100248,Ahmad Erlangga Siregar,937306,20,30,10,50,10,20,20,30,40,7
100249,Evi Ridwan,878002,40,40,20,60,20,30,10,10,50,82
100250,Arif Mahardika Kusuma,284620,40,20,10,10,40,10,30,40,60,56
100251,Vania Halim Santoso,686738,10,30,30,30,50,30,20,20,50,25
100252,Wulan Adi Mahendra,178638,20,20,60,50,30,30,10,10,50,65
100253,Putri Kusuma,728438,20,20,20,50,50,20,20,20,60,83
100254,Wulan Salsabila,372212,10,40,10,30,20,30,10,10,60,55
100255,Cahyo Anggara,299456,30,30,20,20,10,20,20,20,40,49
100256,Maya Dharma Pamungkas,372471,30,40,20,60,30,10,20,30,20,54
100257,Zahra Aji Zulfikar,761892,20,10,30,40,10,20,30,40,60,85
100258,Fitri Adi Maulana,987651,10,30,40,50,30,10,10,10,10,4
100259,Gita Ridwan,873855,20,10,60,50,30,30,30,10,60,52
100260,Ahmad Pramudita Siregar,774643,40,40,20,50,10,20,20,10,40,88
100261,Valdo Gunawan,998529,10,10,10,50,50,30,10,20,10,42
100262,Iman Baskara Saputra,712560,10,20,40,20,40,10,20,30,10,55
100263,Maya Handayani,335338,20,40,10,60,20,10,20,20,40,70
100264,Citra Utami,662357,20,10,10,50,50,30,20,30,30,95
100265,Citra Yulianto,688712,40,10,30,30,40,30,10,30,50,47
100266,Prasetyo Firmansyah,672031,20,10,60,20,50,10,30,10,40,49
100267,Nurlita Saputra Sinaga,872771,40,10,40,40,10,10,20,20,20,61
100268,Nadia Tri Fauziah,935756,10,30,50,20,20,10,10,10,30,73
100269,Zahra Pramudita Kusuma,772941,20,10,10,10,30,20,20,10,30,81
100270,Rani Aji Setiawan,325137,20,10,50,30,20,10,20,20,40,53
100271,Rani Nugroho,504606,20,30,40,60,10,10,20,40,20,102
100272,Yoga Qolbi Herlambang,509363,10,10,60,50,50,10,30,30,20,60
100273,Rani Wibowo,313299,40,10,10,40,30,20,20,20,30,48
100274,Nabila Anugrah Gunawan,489184,20,10,60,50,50,30,20,30,40,34
100275,Evi Maulana,622572,10,30,50,30,20,10,20,20,30,58
100276,Maya Fauziah,204779,30,20,20,40,40,10,10,10,10,47
100277,Nadia Handayani,161543,30,20,10,50,20,30,10,10,10,31
100278,Tania Qolbi Lukman,392035,20,30,20,60,30,30,10,10,20,57
100279,Julia Wibowo,344811,20,20,10,10,20,10,10,30,60,73
100280,Yuni Nabila Handayani,934524,30,20,40,20,20,30,30,10,60,72
100281,Bella Qolbi Ridwan,924171,30,30,50,50,10,30,20,10,60,29
100282,Indra Siregar,149631,40,40,40,10,40,20,30,20,40,35
100283,Wahyu Anggara,567119,30,30,50,50,30,10,10,40,20,39
100284,Julia Maulana,793398,30,20,10,20,20,30,20,40,50,27
100285,Adi Mahardika Setiawan,651681,30,20,40,30,10,30,20,20,40,15
100286,Hana Wijaya Anggara,712677,40,10,30,20,40,30,30,20,30,24
100287,Bella Mahendra,574973,10,40,20,50,50,30,10,30,10,18
100288,Budi Rachman Ramadhan,264342,40,20,50,30,30,20,20,30,30,54
100289,Teguh Hasibuan,306961,40,10,10,20,40,10,20,30,50,6
100290,Ahmad Mahardika Firmansyah,971323,40,40,10,50,30,20,20,10,20,19
100291,Cahyo Pratomo,508086,30,20,10,20,40,10,10,10,50,20
100292,Wahyu Halim Zulfikar,883265,40,40,40,60,20,30,20,20,30,2
100293,Sari Fadillah Mahendra,992880,20,10,50,60,30,30,20,10,20,88
100294,Fitri Dharma Hidayat,354680,20,20,50,60,50,10,30,30,50,65
100295,Hadi Dharma Siregar,759978,30,30,50,30,50,30,10,20,30,33
100296,Bayu Nugroho,234846,10,30,30,30,10,30,20,20,30,49
100297,Yoga Salsabila,139161,10,20,60,50,50,20,30,10,10,65
100298,Yuni Iqbal Saputra,364358,30,20,50,30,50,30,20,30,30,65
100299,Fajar Rachman Ridwan,970290,20,10,30,30,50,30,30,20,10,13
100300,Rama Lukman,997537,30,10,60,20,50,30,20,10,50,25
100301,Rama Zulfikar,994634,20,10,40,60,30,30,20,20,60,31
100302,Rizky Ginting,742035,20,20,60,30,50,20,30,40,20,3
100303,Bayu Wijaya Maulida,548503,20,40,60,20,50,30,30,20,10,95
100304,Valdo Halim,860350,20,40,30,40,10,20,20,10,40,49
100305,Indra Herlambang,561242,10,20,50,60,20,20,10,30,30,68
100306,Dinda Kusuma Ananda,169031,40,40,20,10,30,20,10,40,20,24
100307,Sari Indrawan,969311,40,30,40,40,40,30,20,30,20,29
100308,Nugroho Subekti,490001,20,20,30,50,20,30,30,10,20,52
100309,Valdo Ridwan,581369,40,30,20,50,50,30,30,30,50,61
100310,Rendra Pradana,470444,40,30,40,20,20,10,30,40,10,49
100311,Maya Pramudita Zulfikar,192380,40,30,60,30,40,20,30,40,30,62
100312,Maya Lestari,273935,10,10,60,40,10,20,20,40,50,20
100313,Budi Qolbi Hidayat,928862,10,30,20,30,40,30,10,30,40,50
100314,Yuni Herlambang,183351,40,10,20,30,40,30,10,10,40,14
100315,Rama Kusuma,705053,10,20,20,10,50,30,10,40,40,70
100316,Joko Siregar,586510,30,10,60,50,40,30,10,10,30,40
100317,Budi Herlambang,982097,40,40,60,50,10,30,20,30,60,76
100318,Rafa Lestari Fauziah,189958,30,30,30,40,10,30,10,40,10,31
100319,Valdo Anugrah Ramadhan,956018,40,30,50,10,40,30,20,40,40,101
100320,Budi Hartanto,684733,20,40,30,30,30,30,20,10,30,25
100321,Wulan Iqbal Herlambang,615567,20,10,10,30,50,20,30,30,10,42
100322,Rizka Pramudita Suharto,975189,20,30,60,20,50,20,20,30,20,56
100323,Umar Indrawan,930718,40,10,20,10,10,30,30,20,60,8
100324,Intan Halim,519062,20,40,40,20,30,30,10,30,50,48
100325,Wahyu Kusuma Hartanto,242437,10,30,20,50,50,10,30,40,20,34
100326,Rizka Qolbi Mahendra,978884,20,40,40,50,20,30,10,30,60,55
100327,Vania Rachman Utami,230456,40,10,30,10,40,30,10,30,50,86
100328,Tania Yudhistira Simanjuntak,949570,20,10,60,10,30,30,20,20,60,37
100329,Galih Iqbal Pamungkas,896333,10,10,50,50,20,10,30,20,40,41
100330,Kartika Gunawan,729686,30,20,30,60,40,30,20,30,50,25
100331,Julia Tri Hartanto,217008,10,40,10,50,30,10,10,30,10,39
100332,Dewi Maulida,537866,40,10,10,50,50,20,10,10,20,58
100333,Mahendra Putra,554252,40,10,50,50,50,30,30,40,60,47
100334,Sari Maulana,857262,30,20,40,40,10,10,30,30,30,42
100335,Mahendra Pramudita Purnama,567404,40,20,40,50,30,30,10,30,20,66
100336,Evi Pratomo,873097,30,40,10,50,40,30,30,10,60,26
100337,Anisa Situmorang,434979,10,40,20,30,40,20,10,40,10,87
100338,Galih Halim,376354,20,10,40,40,30,30,10,30,50,123
100339,Rafa Pramudita Purnama,506956,30,40,10,30,10,20,10,40,60,53
100340,Rifqi Ginting,213811,40,20,50,40,50,20,10,20,20,59
100341,Lestari Handayani,929554,40,30,60,60,20,30,20,40,10,30
100342,Luthfi Utama Pradana,161705,10,10,10,20,40,10,30,20,10,66
100343,Adit Tamba,959800,30,20,20,60,20,30,30,20,40,80
100344,Iman Wijaya Ginting,303395,30,20,10,40,10,30,20,20,30,112
100345,Arif Jatmiko Wibowo,904691,30,10,60,60,10,30,20,40,30,7
100346,Ari Ridwan,772854,20,40,30,10,10,10,10,30,30,64
100347,Rizky Nabila Fauziah,746531,20,10,20,40,50,10,20,40,40,53
100348,Indra Ananda,608424,40,20,40,20,10,30,20,10,30,65
100349,Dwi Ridwan,417624,20,40,30,40,50,30,30,10,10,97
100350,Galih Ganesha Fauziah,574728,20,20,40,40,30,20,30,10,40,98
100351,Cahyo Jatmiko Wibowo,342607,30,10,60,60,50,30,10,40,10,62
100352,Gita Wijaya Lestari,360837,40,10,60,10,30,10,30,20,50,24
100353,Wahyu Kusuma,461785,30,40,20,60,40,10,30,40,30,24
100354,Wahyu Setiawan,635548,40,40,30,40,40,20,20,40,50,52
100355,Dimas Erlangga Yulianto,225016,20,20,20,50,30,10,30,10,40,86
100356,Adi Baskara Subekti,895426,20,30,40,40,50,30,30,10,40,18
100357,Adit Siregar,197677,10,20,20,60,20,30,20,10,10,90
100358,Rizki Handayani,634957,10,40,30,50,30,30,20,40,30,97
100359,Vania Baskara Pratama,674316,20,10,10,60,30,10,10,40,20,24
100360,Rizka Rachman Wijaya,652331,10,40,50,30,10,20,10,20,50,6
100361,Eko Baskara Ananda,812639,30,30,30,20,50,10,10,40,10,52
100362,Adit Ginting,333391,40,30,10,50,40,30,30,40,10,32
100363,Zahra Salsabila,134265,30,20,50,50,50,10,20,30,40,44
100364,Utami Kusuma,705134,30,40,60,20,20,30,20,40,20,60
100365,Maya Syahputra,620897,10,10,60,30,20,10,10,30,40,37
100366,Zaki Qolbi Tamba,989990,30,30,40,30,30,10,30,20,20,65
100367,Utami Utama Maulana,294905,10,20,50,50,50,30,20,30,20,63
100368,Dewi Indrawan,472478,20,40,20,10,20,20,30,30,30,111
100369,Wahyu Halim,487988,40,10,30,20,20,10,30,10,20,51
100370,Bayu Tamba,645731,30,10,40,30,50,10,30,20,60,34
100371,Ahmad Yudhistira Pratama,909147,20,10,10,30,40,10,20,30,60,71
